states,sat17_erw,sat18_erw,sat19_erw,sat17_math,sat18_math,sat19_math,sat17_total,sat18_total,sat19_total,sat17_participation_percent,sat18_participation_percent,sat19_participation_percent,act17_total,act18_total,act19_total,act17_participation_percent,act18_participation_percent,act19_participation_percent
Alabama,593.0,595.0,583.0,572.0,571.0,560.0,1165.0,1166.0,1143.0,5.0,6.0,7.0,19.2,19.1,18.9,100.0,100.0,100.0
Alaska,547.0,562.0,556.0,533.0,544.0,541.0,1080.0,1106.0,1097.0,38.0,43.0,41.0,19.8,20.8,20.1,65.0,33.0,38.0
Arizona,563.0,577.0,569.0,553.0,572.0,565.0,1116.0,1149.0,1134.0,30.0,29.0,31.0,19.7,19.2,19.0,62.0,66.0,73.0
Arkansas,614.0,592.0,582.0,594.0,576.0,559.0,1208.0,1169.0,1141.0,3.0,5.0,6.0,19.4,19.4,19.3,100.0,100.0,100.0
California,531.0,540.0,534.0,524.0,536.0,531.0,1055.0,1076.0,1065.0,53.0,60.0,63.0,22.8,22.7,22.6,31.0,27.0,23.0
Colorado,606.0,519.0,518.0,595.0,506.0,506.0,1201.0,1025.0,1024.0,11.0,100.0,100.0,20.8,23.9,23.8,100.0,30.0,27.0
Connecticut,530.0,535.0,529.0,512.0,519.0,516.0,1041.0,1053.0,1046.0,100.0,100.0,100.0,25.2,25.6,25.5,31.0,26.0,22.0
Delaware,503.0,505.0,499.0,492.0,492.0,486.0,996.0,998.0,985.0,100.0,100.0,100.0,24.1,23.8,24.1,18.0,17.0,13.0
District Of Columbia,482.0,497.0,495.0,468.0,480.0,480.0,950.0,977.0,975.0,100.0,92.0,94.0,24.2,23.6,23.5,32.0,32.0,32.0
Florida,520.0,550.0,516.0,497.0,549.0,483.0,1017.0,1099.0,999.0,83.0,56.0,100.0,19.8,19.9,20.1,73.0,66.0,54.0
Georgia,535.0,542.0,538.0,515.0,522.0,519.0,1050.0,1064.0,1058.0,61.0,70.0,71.0,21.4,21.4,21.4,55.0,53.0,49.0
Hawaii,544.0,480.0,550.0,541.0,530.0,550.0,1085.0,1010.0,1100.0,55.0,56.0,54.0,19.0,18.9,19.0,90.0,89.0,80.0
Idaho,513.0,508.0,505.0,493.0,493.0,488.0,1005.0,1001.0,993.0,93.0,100.0,100.0,22.3,22.3,22.5,38.0,36.0,31.0
Illinois,559.0,513.0,509.0,556.0,506.0,504.0,1115.0,1019.0,1013.0,9.0,99.0,100.0,21.4,23.9,24.3,93.0,43.0,35.0
Indiana,542.0,542.0,543.0,532.0,532.0,537.0,1074.0,1074.0,1080.0,63.0,63.0,66.0,22.6,22.5,22.5,35.0,32.0,29.0
Iowa,641.0,634.0,622.0,635.0,631.0,622.0,1275.0,1265.0,1244.0,2.0,3.0,3.0,21.9,21.8,21.6,67.0,68.0,66.0
Kansas,632.0,633.0,618.0,628.0,631.0,623.0,1260.0,1265.0,1241.0,4.0,4.0,4.0,21.7,21.6,21.2,73.0,71.0,72.0
Kentucky,631.0,630.0,620.0,616.0,618.0,612.0,1247.0,1248.0,1232.0,4.0,4.0,4.0,20.0,20.2,19.8,100.0,100.0,100.0
Louisiana,611.0,615.0,610.0,586.0,595.0,591.0,1198.0,1210.0,1200.0,4.0,4.0,5.0,19.5,19.2,18.8,100.0,100.0,100.0
Maine,513.0,512.0,512.0,499.0,501.0,502.0,1012.0,1013.0,1013.0,95.0,99.0,99.0,24.3,24.0,24.3,8.0,7.0,6.0
Maryland,536.0,545.0,535.0,52.0,535.0,523.0,1060.0,1080.0,1058.0,69.0,76.0,82.0,23.6,22.5,22.3,28.0,31.0,28.0
Massachusetts,555.0,562.0,559.0,551.0,563.0,561.0,1107.0,1125.0,1120.0,76.0,80.0,81.0,25.4,25.5,25.5,29.0,25.0,21.0
Michigan,509.0,511.0,507.0,495.0,499.0,496.0,1005.0,1011.0,1003.0,100.0,100.0,100.0,24.1,24.2,24.4,29.0,22.0,19.0
Minnesota,644.0,643.0,636.0,651.0,655.0,648.0,1295.0,1298.0,1284.0,3.0,4.0,4.0,21.5,21.3,21.4,100.0,99.0,95.0
Mississippi,634.0,630.0,628.0,607.0,606.0,608.0,1242.0,1236.0,1237.0,2.0,3.0,3.0,18.6,18.6,18.4,100.0,100.0,100.0
Missouri,640.0,633.0,622.0,631.0,629.0,615.0,1271.0,1262.0,1236.0,3.0,4.0,4.0,20.4,20.0,20.8,100.0,100.0,82.0
Montana,605.0,606.0,603.0,591.0,592.0,596.0,1196.0,1198.0,1199.0,10.0,10.0,9.0,20.3,20.0,19.8,100.0,100.0,100.0
Nebraska,629.0,629.0,628.0,625.0,623.0,631.0,1253.0,1252.0,1260.0,3.0,3.0,3.0,21.4,20.1,20.0,84.0,100.0,100.0
Nevada,563.0,574.0,580.0,553.0,566.0,576.0,1116.0,1140.0,1156.0,26.0,23.0,20.0,17.8,17.7,17.9,100.0,100.0,100.0
New Hampshire,532.0,535.0,533.0,520.0,528.0,526.0,1052.0,1063.0,1059.0,96.0,96.0,95.0,25.5,25.1,25.0,18.0,16.0,14.0
New Jersey,530.0,547.0,544.0,526.0,547.0,545.0,1056.0,1094.0,1090.0,70.0,82.0,82.0,23.9,23.7,24.2,34.0,31.0,25.0
New Mexico,577.0,552.0,543.0,561.0,540.0,530.0,1138.0,1093.0,1073.0,11.0,16.0,18.0,19.7,19.4,19.3,66.0,67.0,63.0
New York,528.0,534.0,531.0,523.0,534.0,533.0,1052.0,1068.0,1064.0,67.0,79.0,79.0,24.2,24.5,24.5,31.0,27.0,22.0
North Carolina,546.0,554.0,554.0,535.0,543.0,546.0,1081.0,1098.0,1100.0,49.0,52.0,51.0,19.1,19.1,19.0,100.0,100.0,100.0
North Dakota,635.0,640.0,627.0,621.0,643.0,636.0,1256.0,1283.0,1263.0,2.0,2.0,2.0,20.3,20.3,19.9,98.0,98.0,96.0
Ohio,578.0,552.0,550.0,570.0,547.0,548.0,1149.0,1099.0,1097.0,12.0,18.0,19.0,22.0,20.3,20.0,75.0,100.0,100.0
Oklahoma,530.0,541.0,490.0,517.0,521.0,472.0,1047.0,1062.0,963.0,7.0,8.0,22.0,19.4,19.3,18.9,100.0,100.0,100.0
Oregon,560.0,564.0,562.0,548.0,553.0,550.0,1108.0,1117.0,1112.0,43.0,48.0,51.0,21.8,21.3,21.1,40.0,42.0,42.0
Pennsylvania,540.0,547.0,545.0,531.0,539.0,537.0,1071.0,1086.0,1082.0,65.0,70.0,70.0,23.7,23.5,23.6,23.0,20.0,17.0
Rhode Island,539.0,513.0,503.0,524.0,505.0,492.0,1062.0,1018.0,995.0,71.0,97.0,100.0,24.0,24.2,24.7,21.0,15.0,12.0
South Carolina,543.0,547.0,526.0,521.0,523.0,504.0,1064.0,1070.0,1030.0,50.0,55.0,68.0,18.7,18.3,18.8,100.0,100.0,78.0
South Dakota,612.0,622.0,633.0,603.0,618.0,635.0,1216.0,1240.0,1268.0,3.0,3.0,3.0,21.8,21.9,21.6,80.0,77.0,75.0
Tennessee,623.0,624.0,618.0,604.0,607.0,602.0,1228.0,1231.0,1220.0,5.0,6.0,7.0,19.8,19.6,19.4,100.0,100.0,100.0
Texas,513.0,520.0,515.0,507.0,512.0,507.0,1020.0,1032.0,1022.0,62.0,66.0,68.0,20.7,20.7,20.5,45.0,45.0,39.0
Utah,624.0,480.0,614.0,614.0,530.0,615.0,1238.0,1010.0,1230.0,3.0,4.0,4.0,20.3,20.4,20.3,100.0,100.0,100.0
Vermont,562.0,565.0,560.0,551.0,554.0,546.0,1114.0,1120.0,1106.0,60.0,64.0,66.0,23.6,24.1,24.1,29.0,24.0,20.0
Virginia,561.0,567.0,567.0,541.0,550.0,551.0,1102.0,1117.0,1119.0,65.0,68.0,68.0,23.8,23.9,24.0,29.0,24.0,21.0
Washington,541.0,543.0,539.0,534.0,538.0,535.0,1075.0,1081.0,1074.0,64.0,69.0,70.0,21.9,22.2,22.1,29.0,24.0,24.0
West Virginia,558.0,513.0,483.0,528.0,486.0,460.0,1086.0,999.0,943.0,14.0,28.0,99.0,20.4,20.3,20.8,69.0,65.0,49.0
Wisconsin,642.0,641.0,635.0,649.0,653.0,648.0,1291.0,1294.0,1283.0,3.0,3.0,3.0,20.5,20.5,20.3,100.0,100.0,100.0
Wyoming,626.0,633.0,623.0,604.0,625.0,615.0,1230.0,1257.0,1238.0,3.0,3.0,3.0,20.2,20.0,19.8,100.0,100.0,100.0
